country,city,cityLabel,population,mayor,mayorLabel,genderLabel,birth,age,start_date,duration,birth_country,birth_countryLabel,birth_city,birth_cityLabel,city_lon,city_lat,birth_city_lon,birth_city_lat,distance
Germany,http://www.wikidata.org/entity/Q3955,Weimar,64131.0,http://www.wikidata.org/entity/Q2337976,Stefan Wolf,male,1961-12-06,57.0,2006-01-01,12,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q64,Berlin,11.316666666,50.983333333,13.383333333,52.516666666,222411.54872320677
Germany,http://www.wikidata.org/entity/Q3012,Ulm,123953.0,http://www.wikidata.org/entity/Q20770017,Gunter Czisch,male,1963-04-01,55.0,2016-01-01,2,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1022,Stuttgart,9.983333333,48.4,9.1775,48.776111111,72686.68823869496
Germany,http://www.wikidata.org/entity/Q2942,Solingen,158908.0,http://www.wikidata.org/entity/Q23060020,Tim Kurzbach,male,1978-04-27,40.0,2015-10-29,3,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2942,Solingen,7.083333333,51.166666666,7.083333333,51.166666666,0.0
Germany,http://www.wikidata.org/entity/Q1709,Schwerin,91583.0,http://www.wikidata.org/entity/Q27514466,Rico Badenschier,male,1978-07-18,40.0,2016-11-01,2,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2795,Chemnitz,11.416666666,53.633333333,12.916666666,50.833333333,327962.62998113636
Germany,http://www.wikidata.org/entity/Q2865,Kassel,199062.0,http://www.wikidata.org/entity/Q33262484,Christian Geselle,male,1976-03-07,42.0,2017-07-22,1,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2865,Kassel,9.497777777,51.319722222,9.497777777,51.319722222,0.0
Germany,http://www.wikidata.org/entity/Q2805,Krefeld,226812.0,http://www.wikidata.org/entity/Q23041748,Frank Meyer,male,1974-07-14,44.0,2015-10-21,3,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2805,Krefeld,6.566666666,51.333333333,6.566666666,51.333333333,0.0
Germany,http://www.wikidata.org/entity/Q2843,Lübeck,216856.0,http://www.wikidata.org/entity/Q43342106,Jan Lindenau,male,1979-06-14,39.0,2018-05-01,0,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2843,Lübeck,10.686388888,53.869722222,10.686388888,53.869722222,0.0
Germany,http://www.wikidata.org/entity/Q365,Cologne,1075935.0,http://www.wikidata.org/entity/Q19285371,Henriette Reker,female,1956-12-09,62.0,2015-10-02,3,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q365,Cologne,6.957777777,50.942222222,6.957777777,50.942222222,0.0
Germany,http://www.wikidata.org/entity/Q516552,Babenhausen,15750.0,http://www.wikidata.org/entity/Q46907283,Achim Knoke,male,1969-01-01,49.0,2014-09-28,4,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q242195,Bad Driburg,8.953263888,49.962361111,9.016666666,51.733333333,197062.9885432628
Malta,http://www.wikidata.org/entity/Q23800,Valletta,6444.0,http://www.wikidata.org/entity/Q55063264,Alexiei Dingli,male,1979-12-29,39.0,2008-06-09,10,http://www.wikidata.org/entity/Q233,Malta,http://www.wikidata.org/entity/Q23800,Valletta,14.5125,35.897777777,14.5125,35.897777777,0.0
Austria,http://www.wikidata.org/entity/Q1735,Innsbruck,130894.0,http://www.wikidata.org/entity/Q1083731,Christine Oppitz-Plörer,female,1968-06-07,50.0,2010-03-08,8,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q1735,Innsbruck,11.383333333,47.266666666,11.383333333,47.266666666,0.0
Austria,http://www.wikidata.org/entity/Q13298,Graz,282479.0,http://www.wikidata.org/entity/Q94129,Siegfried Nagl,male,1963-04-18,55.0,2003-01-01,15,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q13298,Graz,15.433333333,47.066666666,15.433333333,47.066666666,0.0
Austria,http://www.wikidata.org/entity/Q1741,Vienna,1840573.0,http://www.wikidata.org/entity/Q1560091,Michael Ludwig,male,1961-04-03,57.0,2018-05-24,0,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q1741,Vienna,16.373064,48.20833,16.373064,48.20833,0.0
Austria,http://www.wikidata.org/entity/Q41753,Klagenfurt,100316.0,http://www.wikidata.org/entity/Q19971298,Maria-Luise Mathiaschitz,female,1957-01-27,61.0,2015-03-15,3,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q664849,Sankt Georgen im Lavanttal,14.3,46.616666666,14.916666666,46.716666666,48483.54968102805
Austria,http://www.wikidata.org/entity/Q1737,Bregenz,28697.0,http://www.wikidata.org/entity/Q1427981,Markus Linhart,male,1959-10-09,59.0,1998-01-01,20,http://www.wikidata.org/entity/Q43,Turkey,http://www.wikidata.org/entity/Q3640,Ankara,9.749166666,47.505,32.866666666,39.866666666,2037782.9461452665
Austria,http://www.wikidata.org/entity/Q483522,Villach,61218.0,http://www.wikidata.org/entity/Q21452326,Günther Albel,male,1974-01-08,44.0,2015-01-01,3,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q483522,Villach,13.833333333,46.616666666,13.833333333,46.616666666,0.0
Austria,http://www.wikidata.org/entity/Q34713,Salzburg,154076.0,http://www.wikidata.org/entity/Q43464436,Harald Preuner,male,1959-08-03,59.0,2017-09-20,1,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q34713,Salzburg,13.033333333,47.8,13.033333333,47.8,0.0
Austria,http://www.wikidata.org/entity/Q82500,St. Pölten,53445.0,http://www.wikidata.org/entity/Q1910325,Matthias Stadler,male,1966-02-09,52.0,2004-01-01,14,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q82500,St. Pölten,15.616666666,48.2,15.616666666,48.2,0.0
Austria,http://www.wikidata.org/entity/Q171219,Dornbirn,48067.0,http://www.wikidata.org/entity/Q494189,Andrea Kaufmann,female,1969-03-19,49.0,2013-05-29,5,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q171219,Dornbirn,9.75,47.416666666,9.75,47.416666666,0.0
Austria,http://www.wikidata.org/entity/Q41329,Linz,198181.0,http://www.wikidata.org/entity/Q17194395,Klaus Luger,male,1960-11-08,58.0,2013-11-07,5,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q41329,Linz,14.283333333,48.3,14.283333333,48.3,0.0
Denmark,http://www.wikidata.org/entity/Q27168,Randers,62563.0,http://www.wikidata.org/entity/Q12006907,Torben Hansen,male,1965-01-01,53.0,2018-01-01,0,http://www.wikidata.org/entity/Q35,Denmark,http://www.wikidata.org/entity/Q27168,Randers,10.039166666,56.456944444,10.039166666,56.456944444,0.0
Denmark,http://www.wikidata.org/entity/Q25331,Odense,176683.0,http://www.wikidata.org/entity/Q12331698,Peter Rahbæk Juel,male,1977-10-06,41.0,2016-01-01,2,,,,,10.383333333,55.4,,,
Denmark,http://www.wikidata.org/entity/Q190235,Horsens,57517.0,http://www.wikidata.org/entity/Q12331736,Peter Sørensen,male,,,2012-05-15,6,,,,,9.851944444,55.861944444,,,
Denmark,http://www.wikidata.org/entity/Q25410,Aalborg,113417.0,http://www.wikidata.org/entity/Q12339224,Thomas Kastrup-Larsen,male,1973-02-03,45.0,2014-01-01,4,,,,,9.916666666,57.05,,,
Denmark,http://www.wikidata.org/entity/Q21180,Silkeborg,44333.0,http://www.wikidata.org/entity/Q15617242,Steen Vindum,male,1967-09-05,51.0,2014-01-01,4,,,,,9.55,56.166666666,,,
Denmark,http://www.wikidata.org/entity/Q29868,Haderslev,21994.0,http://www.wikidata.org/entity/Q12315501,Hans Peter Geil,male,1956-11-27,62.0,2014-01-01,4,,,,,9.5,55.25,,,
Denmark,http://www.wikidata.org/entity/Q25319,Aarhus,269022.0,http://www.wikidata.org/entity/Q12318831,Jacob Bundsgaard,male,1976-02-28,42.0,2011-08-10,7,http://www.wikidata.org/entity/Q35,Denmark,http://www.wikidata.org/entity/Q25319,Aarhus,10.209722222,56.156388888,10.209722222,56.156388888,0.0
